github repo,cve vendor,cve product
tensorflow/tensorflow,tensorflow,tensorflow
Significant-Gravitas/AutoGPT,significant-gravitas,significant-gravitas/autogpt
huggingface/transformers,huggingface,huggingface/transformers
golang/go,Golang,Go
facebook/react-native,Facebook,react-native
electron/electron,electron,electron
kubernetes/kubernetes,Kubernetes,Kubernetes
nodejs/node,nodejs,node
rust-lang/rust,rust-lang,rust
denoland/deno,denoland,deno
netdata/netdata,netdata,netdata
elastic/elasticsearch,Elastic,elasticsearch
moby/moby,moby,moby
redis/redis,redis,redis
protocolbuffers/protobuf,protocolbuffers,protobuf
ggerganov/llama.cpp,ggerganov,llama.cpp
scikit-learn/scikit-learn,scikit-learn,scikit-learn/scikit-learn
git/git,git,git
ethereum/go-ethereum,ethereum,go-ethereum
laurent22/joplin,laurent22,joplin
FFmpeg/FFmpeg,FFMPEG,FFMPEG
ClickHouse/ClickHouse,ClickHouse,ClickHouse
vim/vim,vim,vim
curl/curl,curl,curl
tmux/tmux,tmux,tmux
netty/netty,netty,netty
hasura/graphql-engine,hasura,graphql-engine
SeleniumHQ/selenium,seleniumhq,seleniumhq/selenium
jqlang/jq,jqlang,jq
torvalds/linux,Linux,Linux
torvalds/linux,The Linux Kernel Organization,linux
torvalds/linux,n/a,Linux
microsoft/vscode,Microsoft,Visual Studio Code
microsoft/terminal,Microsoft,Windows Terminal for Windows 11
microsoft/terminal,Microsoft,Windows Terminal for Windows 10
denoland/deno,denoland,deno
ollama/ollama,ollama,ollama
pytorch/pytorch,pytorch,pytorch
bitcoin/bitcoin,bitcoin,bitcoin
opencv/opencv,opencv,opencv
rustdesk/rustdesk,rustdesk,rustdesk
python/cpython,Python Software Foundation,CPython
grpc/grpc,Google,gRPC
apache/spark,Apache,Apache Spark
php/php-src,PHP Group,PHP
rapid7/metasploit-framework,Rapid7,Metasploit Framework
ray-project/ray,ray-project,rayproject/ray
shadowsocks/ShadowsocksX-NG,n/a,Shadowsocks
SerenityOS/serenity,n/a,Serenityos

pbatard/rufus,Akeo Consulting,Rufus
nothings/stb,nothings,stb
openssl/openssl,openssl,openssl
nginx/nginx,nginx,nginx
libuv/libuv,libuv,libuv
taosdata/TDengine,taosdata,TDengine
radareorg/radare2,radareorg,radare2
openwrt/openwrt,OpenWRT,OpenWRT
timescale/timescaledb,timescale,timescaledb
videolan/vlc,VideoLAN,VLC
espressif/esp-idf,espressif,esp-idf
memcached/memcached,Memcached,Memcached
systemd/systemd,systemd,systemd
ImageMagick/ImageMagick,n/a,ImageMagick
SoftEtherVPN/SoftEtherVPN,SoftEtherVPN,SoftEtherVPN
coturn/coturn,coturn,coturn
